"copies","kind","duration","popularity"
50,"jccd",2451,176
50,"jccd",NULL,176
50,"jccd",2590,176
50,"jccd",2450,676
50,"jccd",NULL,676
50,"jccd",524,676
50,"jccd",386,676
50,"jccd",1548,310
50,"jccd",NULL,310
50,"jccd",0,310
50,"jccd",2546,80
50,"jccd",NULL,80
50,"jccd",2450,201
50,"jccd",NULL,201
50,"jccd",863,201
50,"jccd",834,201
50,"jccd",2450,145
50,"jccd",NULL,145
50,"jccd",0,145
50,"jccd",353,145
50,"jccd",2479,285
50,"jccd",NULL,285
50,"jccd",1051,197
50,"jccd",410,197
50,"jccd",NULL,197
50,"jccd",0,197
50,"jccd",192,197
50,"jccd",219,197
50,"jccd",1129,2749
50,"jccd",NULL,2749
50,"jccd",1508,2749
50,"jccd",817,2749
50,"jccd",1342,2749
50,"jccd",1056,2749
50,"jccd",714,113
50,"jccd",525,113
50,"jccd",NULL,113
50,"jccd",1390,113
50,"jccd",1007,113
50,"jccd",905,252
50,"jccd",NULL,252
50,"jccd",473,252
50,"jccd",315610,341
50,"jccd",NULL,341
50,"jccd",334,341
50,"jccd",16522,439
50,"jccd",NULL,439
50,"jccd",1585,439
50,"jccd",887,209
50,"jccd",NULL,209
50,"jccd",263,209
50,"jccd",722,209
50,"jccd",336,209
50,"jccd",1103,145
50,"jccd",315611,504
50,"jccd",NULL,504
50,"jccd",0,504
50,"jccd",620,504
50,"jccd",2108,176
50,"jccd",263,176
50,"jccd",671,176
50,"jccd",498,781
50,"jccd",NULL,781
50,"jccd",790,781
50,"jccd",939,781
50,"jccd",451,781
50,"jccd",404,781
50,"jccd",720,781
50,"jccd",670,623
50,"jccd",NULL,623
50,"jccd",4225,623
50,"jccd",1009,2749
50,"jccd",528,2749
50,"jccd",1752,951
50,"jccd",NULL,951
50,"jccd",154,951
50,"jccd",1153,1008
50,"jccd",336,1008
50,"jccd",NULL,1008
50,"jccd",408,466
50,"jccd",NULL,466
50,"jccd",5758,466
50,"jccd",4485,48
50,"jccd",NULL,48
50,"jccd",1437,51
50,"jccd",NULL,51
50,"jccd",474,29
50,"jccd",NULL,29
50,"jccd",573,1582
50,"jccd",NULL,1582
50,"jccd",315,1582
50,"jccd",550,387
50,"jccd",NULL,387
50,"jccd",742,387
50,"jccd",716,387
50,"jccd",190,387
50,"jccd",137,1582
50,"jccd",1506,1582
50,"jccd",574,1582
50,"jccd",334,1582
50,"jccd",1078,1582
50,"jccd",625,573
50,"jccd",551,573
50,"jccd",NULL,573
50,"jccd",474,223
50,"jccd",NULL,223
50,"jccd",504,223
50,"jccd",0,223
50,"jccd",625,1843
50,"jccd",NULL,1843
50,"jccd",145,1843
50,"jccd",400,1843
50,"jccd",936,1843
50,"jccd",293,1843
50,"jccd",453,1843
50,"jccd",0,1843
50,"jccd",716,252
50,"jccd",121,252
50,"jccd",4610,197
50,"jccd",1819,197
50,"jccd",1913,197
50,"jccd",622,211
50,"jccd",NULL,211
50,"jccd",266,211
50,"jccd",0,211
50,"jccd",1483,211
50,"jccd",1004,1843
50,"jccd",576,1096
50,"jccd",NULL,1096
50,"jccd",1921,1096
50,"jccd",505,1096
50,"jccd",1508,1096
50,"jccd",332,1096
50,"jccd",887,88
50,"jccd",NULL,88
50,"jccd",309,57
50,"jccd",NULL,57
50,"jccd",717,456
50,"jccd",114,456
50,"jccd",NULL,456
50,"jccd",501,456
50,"jccd",0,456
50,"jccd",365,456
50,"jccd",361,456
50,"jccd",527,456
50,"jccd",499,456
50,"jccd",689,456
50,"jccd",581,126
50,"jccd",NULL,126
50,"jccd",503,126
50,"jccd",575,236
50,"jccd",NULL,236
50,"jccd",719,236
50,"jccd",1892,2325
50,"jccd",505,2325
50,"jccd",NULL,2325
50,"jccd",595,2325
50,"jccd",526,2325
50,"jccd",670,1096
50,"jccd",1463,1096
50,"jccd",307,143
50,"jccd",NULL,143
50,"jccd",0,143
50,"jccd",835,50
50,"jccd",NULL,50
50,"jccd",915,50
50,"jccd",1079,249
50,"jccd",500,249
50,"jccd",NULL,249
50,"jccd",1057,249
50,"jccd",941,249
50,"jccd",1053,249
50,"jccd",1998,249
50,"jccd",669,152
