"copies","kind","duration","popularity"
50,"acfold",475,4205
50,"acfold",NULL,4205
50,"acfold",221,4205
50,"acfold",166,4205
50,"acfold",167,8155
50,"acfold",NULL,8155
50,"acfold",333,8155
50,"acfold",481,8155
50,"acfold",45,7102
50,"acfold",NULL,7102
50,"acfold",474,7102
50,"acfold",428,5851
50,"acfold",NULL,5851
50,"acfold",1008,5851
50,"acfold",668,11078
50,"acfold",NULL,11078
50,"acfold",48,4205
50,"acfold",168,4205
50,"acfold",167,4205
50,"acfold",242,4205
50,"acfold",124,4205
50,"acfold",674,4205
50,"acfold",383,4205
50,"acfold",382,5851
50,"acfold",259,5851
50,"acfold",334,5851
50,"acfold",363,8156
50,"acfold",NULL,8156
50,"acfold",1511,8156
50,"acfold",458,8156
50,"acfold",1251,8156
50,"acfold",1562,7102
50,"acfold",426,7102
50,"acfold",158,7102
50,"acfold",336,8156
50,"acfold",814,8156
50,"acfold",504,8155
50,"acfold",480,5851
50,"acfold",477,5851
50,"acfold",1511,5851
50,"acfold",409,4205
50,"acfold",460,4205
50,"acfold",507,4205
50,"acfold",173,4205
50,"acfold",120,4205
50,"acfold",94,4205
50,"acfold",2594,976
50,"acfold",NULL,976
50,"acfold",1007,8156
50,"acfold",432,8156
50,"acfold",2451,5851
50,"acfold",340,5851
50,"acfold",331,5851
50,"acfold",1513,5851
50,"acfold",413,5851
50,"acfold",2502,5851
50,"acfold",506,11078
50,"acfold",144,6373
50,"acfold",NULL,6373
50,"acfold",216,7102
50,"acfold",378,7102
50,"acfold",841,7102
50,"acfold",385,8156
50,"acfold",436,8156
50,"acfold",0,8156
50,"acfold",166,8156
50,"acfold",239,8156
50,"acfold",481,11078
50,"acfold",864,7102
50,"acfold",695,7102
50,"acfold",382,4205
50,"acfold",266,4205
50,"acfold",28,4205
50,"acfold",167,7102
50,"acfold",479,7102
50,"acfold",166,7102
50,"acfold",501,7102
50,"acfold",503,7102
50,"acfold",119,7102
50,"acfold",0,7102
50,"acfold",285,7102
50,"acfold",335,7102
50,"acfold",402,976
50,"acfold",216,976
50,"acfold",216,4205
50,"acfold",263,4205
50,"acfold",357,4205
50,"acfold",719,4205
50,"acfold",1008,4205
50,"acfold",503,4205
50,"acfold",506,4433
50,"acfold",NULL,4433
50,"acfold",402,5851
50,"acfold",314,5851
50,"acfold",1175,5851
50,"acfold",696,7102
50,"acfold",480,7102
50,"acfold",191,4433
50,"acfold",648,4433
50,"acfold",358,4433
50,"acfold",244,4205
50,"acfold",215,4205
50,"acfold",452,7102
50,"acfold",600,7102
50,"acfold",167,5851
50,"acfold",166,5851
50,"acfold",0,5851
50,"acfold",237,5851
50,"acfold",579,5851
50,"acfold",455,5851
50,"acfold",119,5851
50,"acfold",3406,5851
50,"acfold",189,5851
50,"acfold",170,5851
50,"acfold",238,4205
50,"acfold",191,4205
50,"acfold",1512,4205
50,"acfold",116,4205
50,"acfold",387,4433
50,"acfold",935,4433
50,"acfold",217,8156
50,"acfold",1343,8156
50,"acfold",431,5851
50,"acfold",188,5851
50,"acfold",646,5851
50,"acfold",503,4433
50,"acfold",360,4433
50,"acfold",481,4433
50,"acfold",1346,8156
50,"acfold",455,4205
50,"acfold",474,4205
50,"acfold",385,5851
50,"acfold",505,8156
50,"acfold",454,7102
50,"acfold",212,11078
50,"acfold",0,8155
50,"acfold",214,8155
50,"acfold",334,8155
50,"acfold",312,8155
50,"acfold",1224,8155
50,"acfold",938,5851
50,"acfold",383,5851
50,"acfold",314,8156
