"copies","kind","duration","popularity"
50,"acmus",2612,14
50,"acmus",NULL,14
50,"acmus",46642,3
50,"acmus",NULL,3
50,"acmus",1149,5
50,"acmus",NULL,5
50,"acmus",1839,8
50,"acmus",NULL,8
50,"acmus",95,15
50,"acmus",NULL,15
50,"acmus",3048,15
50,"acmus",430,81
50,"acmus",1294,81
50,"acmus",3528,81
50,"acmus",NULL,81
50,"acmus",1821,81
50,"acmus",1414,81
50,"acmus",837,137
50,"acmus",0,137
50,"acmus",1578,23
50,"acmus",NULL,23
50,"acmus",3402,23
50,"acmus",7313,114
50,"acmus",NULL,114
50,"acmus",1293,114
50,"acmus",785,17
50,"acmus",NULL,17
50,"acmus",306,17
50,"acmus",785,11
50,"acmus",NULL,11
50,"acmus",3835,1
50,"acmus",108660,3
50,"acmus",14436,52
50,"acmus",0,52
50,"acmus",NULL,52
50,"acmus",8029,5
50,"acmus",742,28
50,"acmus",NULL,28
50,"acmus",1082,28
50,"acmus",2566,34
50,"acmus",NULL,34
50,"acmus",1497,34
50,"acmus",596,34
50,"acmus",6236,124
50,"acmus",1509,124
50,"acmus",NULL,124
50,"acmus",2109,124
50,"acmus",47,8
50,"acmus",7434,11
50,"acmus",7918,11
50,"acmus",8873,11
50,"acmus",0,3
50,"acmus",1098,17
50,"acmus",0,17
50,"acmus",4246,17
50,"acmus",2661,17
50,"acmus",67,27
50,"acmus",NULL,27
50,"acmus",75,27
50,"acmus",0,27
50,"acmus",351,27
50,"acmus",481,27
50,"acmus",550,91
50,"acmus",NULL,91
50,"acmus",865,91
50,"acmus",503,24
50,"acmus",528,24
50,"acmus",NULL,24
50,"acmus",0,24
50,"acmus",2253,24
50,"acmus",187,24
50,"acmus",12951,5
50,"acmus",1586,58
50,"acmus",NULL,58
50,"acmus",815,58
50,"acmus",399,58
50,"acmus",0,58
50,"acmus",7647,21
50,"acmus",NULL,21
50,"acmus",883,21
50,"acmus",0,21
50,"acmus",2739,10
50,"acmus",NULL,10
50,"acmus",0,10
50,"acmus",1923,19
50,"acmus",742,19
50,"acmus",NULL,19
50,"acmus",2135,120
50,"acmus",NULL,120
50,"acmus",0,120
50,"acmus",616,9
50,"acmus",NULL,9
50,"acmus",1084,12
50,"acmus",1220,12
50,"acmus",NULL,12
50,"acmus",1269,54
50,"acmus",NULL,54
50,"acmus",1345,54
50,"acmus",269,54
50,"acmus",0,54
50,"acmus",333,137
50,"acmus",NULL,137
50,"acmus",215,137
50,"acmus",1558,23
50,"acmus",0,23
50,"acmus",2541,23
50,"acmus",1031,23
50,"acmus",6117,23
50,"acmus",1361,23
50,"acmus",71,23
50,"acmus",3721,11
50,"acmus",621,11
50,"acmus",964,11
50,"acmus",1368,4
50,"acmus",1416,4
50,"acmus",NULL,4
50,"acmus",892,5
50,"acmus",6381,16
50,"acmus",288,94
50,"acmus",NULL,94
50,"acmus",1968,64
50,"acmus",1008,64
50,"acmus",NULL,64
50,"acmus",694,193
50,"acmus",0,193
50,"acmus",NULL,193
50,"acmus",235,193
50,"acmus",1216,193
50,"acmus",136,193
50,"acmus",499,193
50,"acmus",220,193
50,"acmus",170,193
50,"acmus",67,63
50,"acmus",NULL,63
50,"acmus",432,63
50,"acmus",1556,20
50,"acmus",NULL,20
50,"acmus",3790,77
50,"acmus",NULL,77
50,"acmus",2610,77
50,"acmus",1297,77
50,"acmus",2613,19
50,"acmus",1462,19
50,"acmus",0,19
50,"acmus",930,13
50,"acmus",NULL,13
50,"acmus",25572,4
50,"acmus",7246,4
50,"acmus",384,4
50,"acmus",315636,1
50,"acmus",4008,5
50,"acmus",1384,43
50,"acmus",NULL,43
50,"acmus",1004,22
50,"acmus",460,22
50,"acmus",NULL,22
50,"acmus",1532,209
50,"acmus",NULL,209
50,"acmus",553,209
50,"acmus",498,209
50,"acmus",1004,6
50,"acmus",1413,6
50,"acmus",NULL,6
50,"acmus",1392,6
50,"acmus",1004,191
50,"acmus",2351,56
50,"acmus",NULL,56
50,"acmus",715,56
50,"acmus",502,56
50,"acmus",2326,56
50,"acmus",0,56
50,"acmus",527,56
50,"acmus",552,13
50,"acmus",137,13
50,"acmus",74,13
50,"acmus",979,13
50,"acmus",23,13
50,"acmus",715,24
50,"acmus",3501,24
50,"acmus",936,48
50,"acmus",NULL,48
50,"acmus",1244,48
50,"acmus",287,29
50,"acmus",NULL,29
50,"acmus",1343,15
50,"acmus",2754,15
50,"acmus",0,15
50,"acmus",1253,15
50,"acmus",808,132
50,"acmus",NULL,132
50,"acmus",0,132
50,"acmus",817,132
50,"acmus",736,15
50,"acmus",333,15
50,"acmus",166,23
50,"acmus",165,23
50,"acmus",1722,45
50,"acmus",0,45
50,"acmus",8612,45
50,"acmus",NULL,45
