"copies","kind","duration","popularity"
50,"ahmfm",NULL,1
51,"ahmfm",NULL,1
52,"ahmfm",NULL,1
53,"ahmfm",NULL,1
54,"ahmfm",NULL,1
55,"ahmfm",NULL,1
56,"ahmfm",NULL,1
57,"ahmfm",NULL,1
58,"ahmfm",NULL,1
59,"ahmfm",NULL,1
60,"ahmfm",NULL,1
61,"ahmfm",NULL,1
62,"ahmfm",NULL,1
63,"ahmfm",NULL,1
64,"ahmfm",NULL,1
65,"ahmfm",NULL,1
66,"ahmfm",NULL,1
67,"ahmfm",NULL,1
68,"ahmfm",NULL,1
69,"ahmfm",NULL,1
70,"ahmfm",NULL,1
71,"ahmfm",NULL,1
72,"ahmfm",NULL,1
73,"ahmfm",NULL,1
74,"ahmfm",NULL,1
75,"ahmfm",NULL,1
76,"ahmfm",NULL,1
77,"ahmfm",NULL,1
78,"ahmfm",NULL,1
79,"ahmfm",NULL,1
80,"ahmfm",NULL,1
81,"ahmfm",NULL,1
82,"ahmfm",NULL,1
83,"ahmfm",NULL,1
84,"ahmfm",NULL,1
85,"ahmfm",NULL,1
86,"ahmfm",NULL,1
87,"ahmfm",NULL,1
88,"ahmfm",NULL,1
89,"ahmfm",NULL,1
90,"ahmfm",NULL,1
91,"ahmfm",NULL,1
92,"ahmfm",NULL,1
93,"ahmfm",NULL,1
94,"ahmfm",NULL,1
95,"ahmfm",NULL,1
96,"ahmfm",NULL,1
97,"ahmfm",NULL,1
98,"ahmfm",NULL,1
99,"ahmfm",NULL,1
100,"ahmfm",NULL,1
