"copies","kind","duration","popularity"
50,"jcdvd",1542,376
50,"jcdvd",NULL,376
50,"jcdvd",168,376
50,"jcdvd",0,376
50,"jcdvd",6628,454
50,"jcdvd",NULL,454
50,"jcdvd",494,248
50,"jcdvd",NULL,248
50,"jcdvd",494,462
50,"jcdvd",NULL,462
50,"jcdvd",124,462
50,"jcdvd",238,824
50,"jcdvd",NULL,824
50,"jcdvd",144,824
50,"jcdvd",231,824
50,"jcdvd",218,824
50,"jcdvd",839,824
50,"jcdvd",482,824
50,"jcdvd",336,824
50,"jcdvd",717,650
50,"jcdvd",NULL,650
50,"jcdvd",123,650
50,"jcdvd",288,650
50,"jcdvd",616,609
50,"jcdvd",NULL,609
50,"jcdvd",406,609
50,"jcdvd",616,905
50,"jcdvd",NULL,905
50,"jcdvd",183,905
50,"jcdvd",168,905
50,"jcdvd",358,905
50,"jcdvd",237,905
50,"jcdvd",667,905
50,"jcdvd",982,213
50,"jcdvd",NULL,213
50,"jcdvd",503,213
50,"jcdvd",0,213
50,"jcdvd",470,838
50,"jcdvd",NULL,838
50,"jcdvd",548,838
50,"jcdvd",340,838
50,"jcdvd",236,838
50,"jcdvd",551,838
50,"jcdvd",0,838
50,"jcdvd",496,1165
50,"jcdvd",166,1165
50,"jcdvd",NULL,1165
50,"jcdvd",648,1165
50,"jcdvd",315610,615
50,"jcdvd",623,615
50,"jcdvd",NULL,615
50,"jcdvd",1054,659
50,"jcdvd",675,659
50,"jcdvd",NULL,659
50,"jcdvd",529,659
50,"jcdvd",935,1042
50,"jcdvd",675,1042
50,"jcdvd",NULL,1042
50,"jcdvd",268,1042
50,"jcdvd",0,1042
50,"jcdvd",449,1042
50,"jcdvd",173,1042
50,"jcdvd",409,1042
50,"jcdvd",235,1042
50,"jcdvd",260,1175
50,"jcdvd",NULL,1175
50,"jcdvd",173,1175
50,"jcdvd",743,698
50,"jcdvd",NULL,698
50,"jcdvd",548,698
50,"jcdvd",0,698
50,"jcdvd",1036,568
50,"jcdvd",NULL,568
50,"jcdvd",422,568
50,"jcdvd",714,715
50,"jcdvd",NULL,715
50,"jcdvd",716,941
50,"jcdvd",NULL,941
50,"jcdvd",190,941
50,"jcdvd",259,941
