"copies","kind","duration","popularity"
50,"accd",1542,90
50,"accd",1542,1089
50,"accd",1548,455
50,"accd",NULL,455
50,"accd",160,379
50,"accd",NULL,379
50,"accd",459,379
50,"accd",109,132
50,"accd",NULL,132
50,"accd",358,132
50,"accd",364,132
50,"accd",263,295
50,"accd",NULL,295
50,"accd",109,457
50,"accd",NULL,457
50,"accd",117,457
50,"accd",618,457
50,"accd",984,457
50,"accd",135,400
50,"accd",NULL,400
50,"accd",626,400
50,"accd",160,297
50,"accd",NULL,297
50,"accd",123,297
50,"accd",168,297
50,"accd",330,297
50,"accd",596,297
50,"accd",331,569
50,"accd",NULL,569
50,"accd",766,569
50,"accd",548,569
50,"accd",594,569
50,"accd",787,569
50,"accd",471,11
50,"accd",820,11
50,"accd",NULL,11
50,"accd",1557,87
50,"accd",NULL,87
50,"accd",831,168
50,"accd",0,168
50,"accd",NULL,168
50,"accd",485,168
50,"accd",3305,148
50,"accd",439,148
50,"accd",NULL,148
50,"accd",235,148
50,"accd",0,148
50,"accd",736,148
50,"accd",665,105
50,"accd",NULL,105
50,"accd",1557,90
50,"accd",NULL,90
50,"accd",121,90
50,"accd",307,141
50,"accd",820,141
50,"accd",NULL,141
50,"accd",1345,141
50,"accd",831,98
50,"accd",49,98
50,"accd",1057,98
50,"accd",NULL,98
50,"accd",522,357
50,"accd",NULL,357
50,"accd",14590,357
50,"accd",1414,357
50,"accd",307,204
50,"accd",NULL,204
50,"accd",663,204
50,"accd",1219,204
50,"accd",168,204
50,"accd",546,146
50,"accd",NULL,146
50,"accd",306,146
50,"accd",0,146
50,"accd",471,30
50,"accd",456,30
50,"accd",NULL,30
50,"accd",45,30
50,"accd",622,2488
50,"accd",NULL,2488
50,"accd",858,2488
50,"accd",604,2488
50,"accd",652,2488
50,"accd",134,188
50,"accd",NULL,188
50,"accd",0,188
50,"accd",1547,188
50,"accd",1557,79
50,"accd",NULL,79
50,"accd",952,176
50,"accd",NULL,176
50,"accd",814,176
50,"accd",336,176
50,"accd",427,158
50,"accd",NULL,158
50,"accd",287,158
50,"accd",337,158
50,"accd",366,158
50,"accd",259,248
50,"accd",NULL,248
50,"accd",1199,248
50,"accd",216,248
50,"accd",436,248
50,"accd",0,248
50,"accd",357,248
50,"accd",667,187
50,"accd",NULL,187
50,"accd",146,187
50,"accd",406,187
50,"accd",333,486
50,"accd",NULL,486
50,"accd",673,486
50,"accd",743,486
50,"accd",415,486
50,"accd",1275,486
50,"accd",3810,29
50,"accd",1224,29
50,"accd",NULL,29
50,"accd",545,221
50,"accd",289,221
50,"accd",NULL,221
50,"accd",740,221
50,"accd",528,221
50,"accd",2301,221
50,"accd",111,641
50,"accd",NULL,641
50,"accd",236,641
50,"accd",720,641
50,"accd",506,641
50,"accd",456,641
50,"accd",1080,641
50,"accd",170,641
50,"accd",549,778
50,"accd",NULL,778
50,"accd",505,778
50,"accd",858,778
50,"accd",235,778
50,"accd",117,778
50,"accd",234,778
50,"accd",619,177
50,"accd",NULL,177
50,"accd",311,177
50,"accd",0,177
50,"accd",3139,97
50,"accd",NULL,97
50,"accd",334,404
50,"accd",NULL,404
50,"accd",165,404
50,"accd",522,135
50,"accd",NULL,135
50,"accd",449,389
50,"accd",NULL,389
50,"accd",506,150
50,"accd",NULL,150
50,"accd",96,150
50,"accd",506,244
50,"accd",264,244
50,"accd",NULL,244
50,"accd",234,103
50,"accd",NULL,103
50,"accd",452,103
50,"accd",1179,103
50,"accd",506,182
50,"accd",NULL,182
50,"accd",101,182
50,"accd",596,182
50,"accd",1511,182
50,"accd",70,182
50,"accd",521,227
50,"accd",NULL,227
50,"accd",546,227
