"copies","kind","duration","popularity"
50,"acbk",1546,4
50,"acbk",NULL,4
51,"acbk",1546,4
51,"acbk",NULL,4
52,"acbk",1546,4
52,"acbk",NULL,4
53,"acbk",1546,4
53,"acbk",NULL,4
54,"acbk",1546,4
54,"acbk",NULL,4
55,"acbk",1546,4
55,"acbk",NULL,4
56,"acbk",1546,4
56,"acbk",NULL,4
57,"acbk",1546,4
57,"acbk",NULL,4
58,"acbk",1546,4
58,"acbk",NULL,4
59,"acbk",1546,4
59,"acbk",NULL,4
60,"acbk",1546,4
60,"acbk",NULL,4
61,"acbk",1546,4
61,"acbk",NULL,4
62,"acbk",1546,4
62,"acbk",NULL,4
63,"acbk",1546,4
63,"acbk",NULL,4
64,"acbk",1546,4
64,"acbk",NULL,4
65,"acbk",1546,4
65,"acbk",NULL,4
66,"acbk",1546,4
66,"acbk",NULL,4
67,"acbk",1546,4
67,"acbk",NULL,4
68,"acbk",1546,4
68,"acbk",NULL,4
69,"acbk",1546,4
69,"acbk",NULL,4
70,"acbk",1546,4
70,"acbk",NULL,4
71,"acbk",1546,4
71,"acbk",NULL,4
72,"acbk",1546,4
72,"acbk",NULL,4
73,"acbk",1546,4
73,"acbk",NULL,4
74,"acbk",1546,4
74,"acbk",NULL,4
75,"acbk",1546,4
75,"acbk",NULL,4
76,"acbk",1546,4
76,"acbk",NULL,4
77,"acbk",1546,4
77,"acbk",NULL,4
78,"acbk",1546,4
78,"acbk",NULL,4
79,"acbk",1546,4
79,"acbk",NULL,4
80,"acbk",1546,4
80,"acbk",NULL,4
81,"acbk",1546,4
81,"acbk",NULL,4
82,"acbk",1546,4
82,"acbk",NULL,4
83,"acbk",1546,4
83,"acbk",NULL,4
84,"acbk",1546,4
84,"acbk",NULL,4
85,"acbk",1546,4
85,"acbk",NULL,4
86,"acbk",1546,4
86,"acbk",NULL,4
87,"acbk",1546,4
87,"acbk",NULL,4
88,"acbk",1546,4
88,"acbk",NULL,4
89,"acbk",1546,4
89,"acbk",NULL,4
90,"acbk",1546,4
90,"acbk",NULL,4
91,"acbk",1546,4
91,"acbk",NULL,4
92,"acbk",1546,4
92,"acbk",NULL,4
93,"acbk",1546,4
93,"acbk",NULL,4
94,"acbk",1546,4
94,"acbk",NULL,4
95,"acbk",1546,4
95,"acbk",NULL,4
96,"acbk",1546,4
96,"acbk",NULL,4
97,"acbk",1546,4
97,"acbk",NULL,4
98,"acbk",1546,4
98,"acbk",NULL,4
99,"acbk",1546,4
99,"acbk",NULL,4
100,"acbk",1546,4
100,"acbk",NULL,4
50,"acbk",2601,86
50,"acbk",NULL,86
50,"acbk",4540,86
50,"acbk",650,86
51,"acbk",2601,86
51,"acbk",NULL,86
51,"acbk",4540,86
51,"acbk",650,86
52,"acbk",2601,86
52,"acbk",NULL,86
52,"acbk",4540,86
52,"acbk",650,86
53,"acbk",2601,86
53,"acbk",NULL,86
53,"acbk",4540,86
53,"acbk",650,86
54,"acbk",2601,86
54,"acbk",NULL,86
54,"acbk",4540,86
54,"acbk",650,86
55,"acbk",2601,86
55,"acbk",NULL,86
55,"acbk",4540,86
55,"acbk",650,86
56,"acbk",2601,86
56,"acbk",NULL,86
56,"acbk",4540,86
56,"acbk",650,86
57,"acbk",2601,86
57,"acbk",NULL,86
57,"acbk",4540,86
57,"acbk",650,86
58,"acbk",2601,86
58,"acbk",NULL,86
58,"acbk",4540,86
58,"acbk",650,86
59,"acbk",2601,86
59,"acbk",NULL,86
59,"acbk",4540,86
59,"acbk",650,86
60,"acbk",2601,86
60,"acbk",NULL,86
60,"acbk",4540,86
60,"acbk",650,86
61,"acbk",2601,86
61,"acbk",NULL,86
61,"acbk",4540,86
61,"acbk",650,86
62,"acbk",2601,86
62,"acbk",NULL,86
62,"acbk",4540,86
62,"acbk",650,86
63,"acbk",2601,86
63,"acbk",NULL,86
63,"acbk",4540,86
63,"acbk",650,86
64,"acbk",2601,86
64,"acbk",NULL,86
64,"acbk",4540,86
64,"acbk",650,86
65,"acbk",2601,86
65,"acbk",NULL,86
65,"acbk",4540,86
65,"acbk",650,86
66,"acbk",2601,86
66,"acbk",NULL,86
66,"acbk",4540,86
66,"acbk",650,86
67,"acbk",2601,86
67,"acbk",NULL,86
67,"acbk",4540,86
67,"acbk",650,86
68,"acbk",2601,86
68,"acbk",NULL,86
68,"acbk",4540,86
68,"acbk",650,86
69,"acbk",2601,86
69,"acbk",NULL,86
69,"acbk",4540,86
69,"acbk",650,86
70,"acbk",2601,86
70,"acbk",NULL,86
70,"acbk",4540,86
70,"acbk",650,86
71,"acbk",2601,86
71,"acbk",NULL,86
71,"acbk",4540,86
71,"acbk",650,86
72,"acbk",2601,86
72,"acbk",NULL,86
72,"acbk",4540,86
72,"acbk",650,86
73,"acbk",2601,86
73,"acbk",NULL,86
73,"acbk",4540,86
73,"acbk",650,86
74,"acbk",2601,86
74,"acbk",NULL,86
74,"acbk",4540,86
74,"acbk",650,86
75,"acbk",2601,86
75,"acbk",NULL,86
75,"acbk",4540,86
75,"acbk",650,86
76,"acbk",2601,86
76,"acbk",NULL,86
76,"acbk",4540,86
76,"acbk",650,86
77,"acbk",2601,86
77,"acbk",NULL,86
77,"acbk",4540,86
77,"acbk",650,86
78,"acbk",2601,86
78,"acbk",NULL,86
78,"acbk",4540,86
78,"acbk",650,86
79,"acbk",2601,86
79,"acbk",NULL,86
79,"acbk",4540,86
79,"acbk",650,86
80,"acbk",2601,86
80,"acbk",NULL,86
80,"acbk",4540,86
80,"acbk",650,86
81,"acbk",2601,86
81,"acbk",NULL,86
81,"acbk",4540,86
81,"acbk",650,86
82,"acbk",2601,86
82,"acbk",NULL,86
82,"acbk",4540,86
82,"acbk",650,86
83,"acbk",2601,86
83,"acbk",NULL,86
83,"acbk",4540,86
83,"acbk",650,86
84,"acbk",2601,86
84,"acbk",NULL,86
84,"acbk",4540,86
84,"acbk",650,86
85,"acbk",2601,86
85,"acbk",NULL,86
85,"acbk",4540,86
85,"acbk",650,86
86,"acbk",2601,86
86,"acbk",NULL,86
86,"acbk",4540,86
86,"acbk",650,86
87,"acbk",2601,86
87,"acbk",NULL,86
87,"acbk",4540,86
87,"acbk",650,86
88,"acbk",2601,86
88,"acbk",NULL,86
88,"acbk",4540,86
88,"acbk",650,86
89,"acbk",2601,86
89,"acbk",NULL,86
89,"acbk",4540,86
89,"acbk",650,86
90,"acbk",2601,86
90,"acbk",NULL,86
90,"acbk",4540,86
90,"acbk",650,86
91,"acbk",2601,86
91,"acbk",NULL,86
91,"acbk",4540,86
91,"acbk",650,86
92,"acbk",2601,86
92,"acbk",NULL,86
92,"acbk",4540,86
92,"acbk",650,86
93,"acbk",2601,86
93,"acbk",NULL,86
93,"acbk",4540,86
93,"acbk",650,86
94,"acbk",2601,86
94,"acbk",NULL,86
94,"acbk",4540,86
94,"acbk",650,86
95,"acbk",2601,86
95,"acbk",NULL,86
95,"acbk",4540,86
95,"acbk",650,86
96,"acbk",2601,86
96,"acbk",NULL,86
96,"acbk",4540,86
96,"acbk",650,86
97,"acbk",2601,86
97,"acbk",NULL,86
97,"acbk",4540,86
97,"acbk",650,86
98,"acbk",2601,86
98,"acbk",NULL,86
98,"acbk",4540,86
98,"acbk",650,86
99,"acbk",2601,86
99,"acbk",NULL,86
99,"acbk",4540,86
99,"acbk",650,86
100,"acbk",2601,86
100,"acbk",NULL,86
100,"acbk",4540,86
100,"acbk",650,86
50,"acbk",5620,250
51,"acbk",5620,250
52,"acbk",5620,250
53,"acbk",5620,250
54,"acbk",5620,250
55,"acbk",5620,250
56,"acbk",5620,250
57,"acbk",5620,250
58,"acbk",5620,250
59,"acbk",5620,250
60,"acbk",5620,250
61,"acbk",5620,250
62,"acbk",5620,250
63,"acbk",5620,250
64,"acbk",5620,250
65,"acbk",5620,250
66,"acbk",5620,250
67,"acbk",5620,250
68,"acbk",5620,250
69,"acbk",5620,250
70,"acbk",5620,250
71,"acbk",5620,250
72,"acbk",5620,250
73,"acbk",5620,250
74,"acbk",5620,250
75,"acbk",5620,250
76,"acbk",5620,250
77,"acbk",5620,250
78,"acbk",5620,250
79,"acbk",5620,250
80,"acbk",5620,250
81,"acbk",5620,250
82,"acbk",5620,250
83,"acbk",5620,250
84,"acbk",5620,250
85,"acbk",5620,250
86,"acbk",5620,250
87,"acbk",5620,250
88,"acbk",5620,250
89,"acbk",5620,250
90,"acbk",5620,250
91,"acbk",5620,250
92,"acbk",5620,250
93,"acbk",5620,250
94,"acbk",5620,250
95,"acbk",5620,250
96,"acbk",5620,250
97,"acbk",5620,250
98,"acbk",5620,250
99,"acbk",5620,250
100,"acbk",5620,250
50,"acbk",2614,48
50,"acbk",1009,48
50,"acbk",NULL,48
51,"acbk",2614,48
51,"acbk",1009,48
51,"acbk",NULL,48
52,"acbk",2614,48
52,"acbk",1009,48
52,"acbk",NULL,48
53,"acbk",2614,48
53,"acbk",1009,48
53,"acbk",NULL,48
54,"acbk",2614,48
54,"acbk",1009,48
54,"acbk",NULL,48
55,"acbk",2614,48
55,"acbk",1009,48
55,"acbk",NULL,48
56,"acbk",2614,48
56,"acbk",1009,48
56,"acbk",NULL,48
57,"acbk",2614,48
57,"acbk",1009,48
57,"acbk",NULL,48
58,"acbk",2614,48
58,"acbk",1009,48
58,"acbk",NULL,48
59,"acbk",2614,48
59,"acbk",1009,48
59,"acbk",NULL,48
60,"acbk",2614,48
60,"acbk",1009,48
60,"acbk",NULL,48
61,"acbk",2614,48
61,"acbk",1009,48
61,"acbk",NULL,48
62,"acbk",2614,48
62,"acbk",1009,48
62,"acbk",NULL,48
63,"acbk",2614,48
63,"acbk",1009,48
63,"acbk",NULL,48
64,"acbk",2614,48
64,"acbk",1009,48
64,"acbk",NULL,48
65,"acbk",2614,48
65,"acbk",1009,48
65,"acbk",NULL,48
66,"acbk",2614,48
66,"acbk",1009,48
66,"acbk",NULL,48
67,"acbk",2614,48
67,"acbk",1009,48
67,"acbk",NULL,48
68,"acbk",2614,48
68,"acbk",1009,48
68,"acbk",NULL,48
69,"acbk",2614,48
69,"acbk",1009,48
69,"acbk",NULL,48
70,"acbk",2614,48
70,"acbk",1009,48
70,"acbk",NULL,48
71,"acbk",2614,48
71,"acbk",1009,48
71,"acbk",NULL,48
72,"acbk",2614,48
72,"acbk",1009,48
72,"acbk",NULL,48
73,"acbk",2614,48
73,"acbk",1009,48
73,"acbk",NULL,48
74,"acbk",2614,48
74,"acbk",1009,48
74,"acbk",NULL,48
75,"acbk",2614,48
75,"acbk",1009,48
75,"acbk",NULL,48
76,"acbk",2614,48
76,"acbk",1009,48
76,"acbk",NULL,48
77,"acbk",2614,48
77,"acbk",1009,48
77,"acbk",NULL,48
78,"acbk",2614,48
78,"acbk",1009,48
78,"acbk",NULL,48
79,"acbk",2614,48
79,"acbk",1009,48
79,"acbk",NULL,48
80,"acbk",2614,48
80,"acbk",1009,48
80,"acbk",NULL,48
81,"acbk",2614,48
81,"acbk",1009,48
81,"acbk",NULL,48
82,"acbk",2614,48
82,"acbk",1009,48
82,"acbk",NULL,48
83,"acbk",2614,48
83,"acbk",1009,48
83,"acbk",NULL,48
84,"acbk",2614,48
84,"acbk",1009,48
84,"acbk",NULL,48
85,"acbk",2614,48
85,"acbk",1009,48
85,"acbk",NULL,48
86,"acbk",2614,48
86,"acbk",1009,48
86,"acbk",NULL,48
87,"acbk",2614,48
87,"acbk",1009,48
87,"acbk",NULL,48
88,"acbk",2614,48
88,"acbk",1009,48
88,"acbk",NULL,48
89,"acbk",2614,48
89,"acbk",1009,48
89,"acbk",NULL,48
90,"acbk",2614,48
90,"acbk",1009,48
90,"acbk",NULL,48
91,"acbk",2614,48
91,"acbk",1009,48
91,"acbk",NULL,48
92,"acbk",2614,48
92,"acbk",1009,48
92,"acbk",NULL,48
93,"acbk",2614,48
93,"acbk",1009,48
93,"acbk",NULL,48
94,"acbk",2614,48
94,"acbk",1009,48
94,"acbk",NULL,48
95,"acbk",2614,48
95,"acbk",1009,48
95,"acbk",NULL,48
96,"acbk",2614,48
96,"acbk",1009,48
96,"acbk",NULL,48
97,"acbk",2614,48
97,"acbk",1009,48
97,"acbk",NULL,48
98,"acbk",2614,48
98,"acbk",1009,48
98,"acbk",NULL,48
99,"acbk",2614,48
99,"acbk",1009,48
99,"acbk",NULL,48
100,"acbk",2614,48
100,"acbk",1009,48
100,"acbk",NULL,48
50,"acbk",1676,12
50,"acbk",NULL,12
51,"acbk",1676,12
51,"acbk",NULL,12
52,"acbk",1676,12
52,"acbk",NULL,12
53,"acbk",1676,12
53,"acbk",NULL,12
54,"acbk",1676,12
54,"acbk",NULL,12
55,"acbk",1676,12
55,"acbk",NULL,12
