"copies","kind","duration","popularity"
50,"acdvd",1544,4463
50,"acdvd",433,499
50,"acdvd",527,499
50,"acdvd",NULL,499
50,"acdvd",159,499
50,"acdvd",97,499
50,"acdvd",622,681
50,"acdvd",648,681
50,"acdvd",NULL,681
50,"acdvd",172,681
50,"acdvd",116,681
50,"acdvd",285,681
50,"acdvd",1146,681
50,"acdvd",335,681
50,"acdvd",331,3910
50,"acdvd",NULL,3910
50,"acdvd",498,4579
50,"acdvd",530,4579
50,"acdvd",NULL,4579
50,"acdvd",354,4579
50,"acdvd",218,4579
50,"acdvd",51,4579
50,"acdvd",404,4579
50,"acdvd",716,4615
50,"acdvd",NULL,4615
50,"acdvd",88,4615
50,"acdvd",263,4615
50,"acdvd",592,1354
50,"acdvd",NULL,1354
50,"acdvd",547,1354
50,"acdvd",789,1354
50,"acdvd",456,1354
50,"acdvd",241,1354
50,"acdvd",1002,1793
50,"acdvd",NULL,1793
50,"acdvd",312,1793
50,"acdvd",738,962
50,"acdvd",NULL,962
50,"acdvd",883,962
50,"acdvd",355,962
50,"acdvd",458,962
50,"acdvd",72,962
50,"acdvd",1409,1417
50,"acdvd",NULL,1417
50,"acdvd",238,1417
50,"acdvd",261,1417
50,"acdvd",121,1417
50,"acdvd",478,1417
50,"acdvd",188,1417
50,"acdvd",616,526
50,"acdvd",550,526
50,"acdvd",NULL,526
50,"acdvd",673,526
50,"acdvd",142,526
50,"acdvd",498,319
50,"acdvd",NULL,319
50,"acdvd",503,319
50,"acdvd",309,535
50,"acdvd",NULL,535
50,"acdvd",389,535
50,"acdvd",594,535
50,"acdvd",0,535
50,"acdvd",1337,2368
50,"acdvd",NULL,2368
50,"acdvd",94,2368
50,"acdvd",0,2368
50,"acdvd",673,2368
50,"acdvd",458,2368
50,"acdvd",335,2368
50,"acdvd",379,595
50,"acdvd",NULL,595
50,"acdvd",462,595
50,"acdvd",0,595
50,"acdvd",621,1504
50,"acdvd",NULL,1504
50,"acdvd",1375,1504
50,"acdvd",256,408
50,"acdvd",NULL,408
50,"acdvd",0,408
50,"acdvd",165,408
50,"acdvd",312,408
50,"acdvd",622,3864
50,"acdvd",NULL,3864
50,"acdvd",0,3864
50,"acdvd",428,3864
50,"acdvd",641,2063
50,"acdvd",NULL,2063
50,"acdvd",261,2063
50,"acdvd",953,1381
50,"acdvd",860,1381
50,"acdvd",NULL,1381
50,"acdvd",497,1381
50,"acdvd",234,1016
50,"acdvd",NULL,1016
50,"acdvd",314,1016
50,"acdvd",266,1016
50,"acdvd",479,1016
50,"acdvd",335,1016
50,"acdvd",380,3289
50,"acdvd",383,3289
50,"acdvd",NULL,3289
50,"acdvd",192,3289
50,"acdvd",69,3289
50,"acdvd",164,686
50,"acdvd",504,686
50,"acdvd",NULL,686
50,"acdvd",0,686
50,"acdvd",71,686
50,"acdvd",425,229
50,"acdvd",NULL,229
50,"acdvd",1050,407
50,"acdvd",NULL,407
50,"acdvd",0,407
50,"acdvd",382,408
50,"acdvd",66,408
50,"acdvd",184,408
50,"acdvd",168,408
50,"acdvd",146,408
50,"acdvd",190,408
50,"acdvd",571,916
50,"acdvd",215,916
50,"acdvd",238,916
50,"acdvd",NULL,916
50,"acdvd",310,916
50,"acdvd",449,916
50,"acdvd",1079,916
50,"acdvd",263,916
50,"acdvd",579,5355
50,"acdvd",NULL,5355
50,"acdvd",0,5355
50,"acdvd",432,5355
50,"acdvd",1618,221
50,"acdvd",NULL,221
50,"acdvd",670,221
50,"acdvd",910,221
