"copies","kind","duration","popularity"
50,"acphoto",11636,1
51,"acphoto",11636,1
52,"acphoto",11636,1
53,"acphoto",11636,1
54,"acphoto",11636,1
55,"acphoto",11636,1
56,"acphoto",11636,1
57,"acphoto",11636,1
58,"acphoto",11636,1
59,"acphoto",11636,1
60,"acphoto",11636,1
61,"acphoto",11636,1
62,"acphoto",11636,1
63,"acphoto",11636,1
64,"acphoto",11636,1
65,"acphoto",11636,1
66,"acphoto",11636,1
67,"acphoto",11636,1
68,"acphoto",11636,1
69,"acphoto",11636,1
70,"acphoto",11636,1
71,"acphoto",11636,1
72,"acphoto",11636,1
73,"acphoto",11636,1
74,"acphoto",11636,1
75,"acphoto",11636,1
76,"acphoto",11636,1
77,"acphoto",11636,1
78,"acphoto",11636,1
79,"acphoto",11636,1
80,"acphoto",11636,1
81,"acphoto",11636,1
82,"acphoto",11636,1
83,"acphoto",11636,1
84,"acphoto",11636,1
85,"acphoto",11636,1
86,"acphoto",11636,1
87,"acphoto",11636,1
88,"acphoto",11636,1
89,"acphoto",11636,1
90,"acphoto",11636,1
91,"acphoto",11636,1
92,"acphoto",11636,1
93,"acphoto",11636,1
94,"acphoto",11636,1
95,"acphoto",11636,1
96,"acphoto",11636,1
97,"acphoto",11636,1
98,"acphoto",11636,1
99,"acphoto",11636,1
100,"acphoto",11636,1
