"copies","kind","duration","popularity"
50,"bcdvd",319066,893
50,"bcdvd",NULL,893
50,"bcdvd",769,893
50,"bcdvd",384,893
50,"bcdvd",NULL,382
50,"bcdvd",534,382
50,"bcdvd",502,382
50,"bcdvd",574,382
50,"bcdvd",0,382
50,"bcdvd",1581,382
50,"bcdvd",215,893
50,"bcdvd",260,893
50,"bcdvd",1216,382
50,"bcdvd",649,382
50,"bcdvd",409,382
50,"bcdvd",592,382
50,"bcdvd",335,382
50,"bcdvd",910,382
50,"bcdvd",237,382
50,"bcdvd",322428,119
50,"bcdvd",NULL,119
50,"bcdvd",74,119
50,"bcdvd",500,119
50,"bcdvd",322501,893
50,"bcdvd",324524,37
50,"bcdvd",NULL,37
50,"bcdvd",888,37
50,"bcdvd",NULL,99
50,"bcdvd",194,99
50,"bcdvd",0,99
50,"bcdvd",502,893
50,"bcdvd",313,893
50,"bcdvd",NULL,112
50,"bcdvd",581,112
50,"bcdvd",910,112
50,"bcdvd",488,112
50,"bcdvd",1216,112
50,"bcdvd",323269,142
50,"bcdvd",NULL,142
50,"bcdvd",323272,98
50,"bcdvd",3651,98
50,"bcdvd",NULL,98
50,"bcdvd",0,98
50,"bcdvd",323272,79
50,"bcdvd",NULL,79
50,"bcdvd",323272,90
50,"bcdvd",NULL,90
50,"bcdvd",323386,120
50,"bcdvd",NULL,120
50,"bcdvd",3841,120
50,"bcdvd",0,120
50,"bcdvd",385,120
50,"bcdvd",NULL,27
50,"bcdvd",313,27
50,"bcdvd",594,893
50,"bcdvd",0,893
50,"bcdvd",323343,90
50,"bcdvd",5784,98
50,"bcdvd",141,98
50,"bcdvd",313,79
50,"bcdvd",313,120
50,"bcdvd",426,120
50,"bcdvd",984,119
50,"bcdvd",324448,142
50,"bcdvd",529,142
50,"bcdvd",868,893
50,"bcdvd",323846,90
50,"bcdvd",5834,90
50,"bcdvd",323920,98
50,"bcdvd",325791,27
50,"bcdvd",335,27
50,"bcdvd",334,99
50,"bcdvd",313,37
50,"bcdvd",626,37
50,"bcdvd",618,142
50,"bcdvd",842,112
50,"bcdvd",325551,4
50,"bcdvd",1369,112
50,"bcdvd",433,112
50,"bcdvd",0,112
50,"bcdvd",325554,36
50,"bcdvd",NULL,36
50,"bcdvd",325574,109
50,"bcdvd",NULL,109
50,"bcdvd",0,109
50,"bcdvd",1175,109
50,"bcdvd",325600,109
50,"bcdvd",698,109
50,"bcdvd",325715,36
50,"bcdvd",0,36
50,"bcdvd",326123,178
50,"bcdvd",NULL,178
50,"bcdvd",326127,180
50,"bcdvd",NULL,180
50,"bcdvd",326128,178
50,"bcdvd",326128,180
50,"bcdvd",191,180
50,"bcdvd",326221,250
50,"bcdvd",NULL,250
50,"bcdvd",326559,180
50,"bcdvd",335,180
50,"bcdvd",326291,180
50,"bcdvd",237,180
50,"bcdvd",503,250
50,"bcdvd",NULL,192
50,"bcdvd",166,192
50,"bcdvd",166,250
50,"bcdvd",335,250
50,"bcdvd",166,382
50,"bcdvd",358,382
50,"bcdvd",525,382
50,"bcdvd",327371,250
50,"bcdvd",4660,37
